id,stratifiedNarrative,stratifiedCommaLabel
1,"﻿某学院的A，B，C三个专业共有1200名学生，为了调查这些学生的勤工俭学的情况，拟采用分层抽样的方法抽取一个容量为120的样本，已知该学院的A专业有380名学生，B专业有420名学生，则该学院的C专业应抽取（    ）名学生。","﻿某学院的A$，B$，C三个专业共有1200名学生#，为了调查这些学生的勤工俭学的情况#，拟采用分层抽样的方法抽取一个容量为120的样本#，已知该学院的A专业有380名学生#，B专业有420名学生#，则该学院的C专业应抽取（    ）名学生。"
2,"某工厂生产甲、乙、丙三种型号的产品，产品数量之比为3：5：7，现用分层抽样的方法抽出容量为n的样本，其中甲种产品有18件，则样本容量n=（    ）。","某工厂生产甲、乙、丙三种型号的产品$，产品数量之比为3：5：7#，现用分层抽样的方法抽出容量为n的样本#，其中甲种产品有18件#，则样本容量n=（    ）。"
3,"某学院有A，B，C三个专业共1200名学生，现采用分层抽样的方法抽取一个容量为120的样本，已知A专业有420名学生，B专业有380名学生，则在C专业应抽取（    ）名学生。","某学院有A$，B$，C三个专业共1200名学生#，现采用分层抽样的方法抽取一个容量为120的样本#，已知A专业有420名学生#，B专业有380名学生#，则在C专业应抽取（    ）名学生。"
4,"某校数学教研组为了解学生学习数学的情况，采用分层抽样的方法从高一600人、高二680人、高三720人中，抽取50人进行问卷调查，则高一、 高二、高三抽取的人数分别是[     ]","某校数学教研组为了解学生学习数学的情况#，采用分层抽样的方法从高一600人、高二680人、高三720人中#，抽取50人进行问卷调查#，则高一、 高二、高三抽取的人数分别是[     ]"
5,沈阳市某高中有高一学生600人，高二学生500人，高三学生550人，现对学生关于消防安全知识了解情况进行分层抽样调查，若抽取了一个容量为n的样本，其中高三学生有11人，则n的值等于（ ）。,沈阳市某高中有高一学生600人#，高二学生500人#，高三学生550人#，现对学生关于消防安全知识了解情况进行分层抽样调查#，若抽取了一个容量为n的样本#，其中高三学生有11人#，则n的值等于（ ）。
6,"某公司生产三种型号的轿车，产量分别为1200辆，6000辆和2000辆，为检验该公司的产品质量，现用分层抽样的方法抽取46辆进行检验，这三种型号的轿车依次应抽取（  ），（  ），（  ）辆。","某公司生产三种型号的轿车$，产量分别为1200辆$，6000辆和2000辆#，为检验该公司的产品质量#，现用分层抽样的方法抽取46辆进行检验#，这三种型号的轿车依次应抽取（  ）$，（  ）$，（  ）辆。"
7,一个单位有职工160人，其中有业务员120人，管理人员24人，后勤服务人员16人，为了了解职工的身体健康状况，要从中抽取一定容量的样本，现用分层抽样的方法得到业务员的人数为15人，那么这个样本的容量为______．,一个单位有职工160人#，其中有业务员120人#，管理人员24人#，后勤服务人员16人#，为了了解职工的身体健康状况#，要从中抽取一定容量的样本#，现用分层抽样的方法得到业务员的人数为15人#，那么这个样本的容量为______．
8,某城市有学校700所，其中大学20所，中学200所，小学480所，现用分层抽样的方法从中抽取一个容量为70的样本进行某项调查，则应抽取的中学数为（　　）,某城市有学校700所#，其中大学20所#，中学200所#，小学480所#，现用分层抽样的方法从中抽取一个容量为70的样本进行某项调查#，则应抽取的中学数为（　　）
9,当前，国家正在分批修建经济适用房以解决低收入家庭住房紧张问题．甲、乙、丙三个社区现分别有低收入家庭150户、200户、100户，若第一批经济适用房中有90套用于解决这三个社区中90户低收入家庭的住房问题，现采用分层抽样的方法决定各社区的户数，则应从甲社区中抽取的低收入家庭的户数为（　　）,当前$，国家正在分批修建经济适用房以解决低收入家庭住房紧张问题．甲、乙、丙三个社区现分别有低收入家庭150户、200户、100户#，若第一批经济适用房中有90套用于解决这三个社区中90户低收入家庭的住房问题#，现采用分层抽样的方法决定各社区的户数#，则应从甲社区中抽取的低收入家庭的户数为（　　）
10,"课题组进行城市空气质量调查，按地域把24个城市分成甲、乙、丙三组，对应城市数之比为1：3：2。若用分层抽样抽取6个城市，则丙组中应抽取的城市数为[  ]","课题组进行城市空气质量调查#，按地域把24个城市分成甲、乙、丙三组$，对应城市数之比为1：3：2。若用分层抽样抽取6个城市#，则丙组中应抽取的城市数为[  ]"
